Wteam_i,Lteam_i,day,Wteam,Lteam,Wseed,Lseed,Win_Loss,Ast_x,Blk_x,DR_x,DayNum_x,FGA_x,FGA3_x,FGM_x,FGM3_x,FTA_x,FTM_x,Loc_x,OR_x,PF_x,Rank_day_x,Score_x,Stl_x,TO_x,ConfAbbrev_x,Ast_y,Blk_y,DR_y,DayNum_y,FGA_y,FGA3_y,FGM_y,FGM3_y,FTA_y,FTM_y,Loc_y,OR_y,PF_y,Rank_day_y,Score_y,Stl_y,TO_y,ConfAbbrev_y,Season
1421,1411,134,1421,1411,16,16,1,38.040909090909096,-0.9227272727272724,17.78636363636365,125.8545454545454,38.02727272727266,29.131818181818165,29.454545454545464,24.018181818181816,19.090909090909072,51.85909090909089,0,5.36363636363634,-13.47727272727268,147.918181818182,134.78636363636355,-9.86363636363637,8.89999999999999,big_south,32.302816901408455,-18.985915492957744,33.4014084507042,126.10563380281681,-114.42957746478879,-13.62676056338028,9.535211267605604,-8.44366197183098,229.00704225352104,112.66901408450701,0,19.3661971830986,-35.049295774647845,133.72535211267586,123.2957746478875,-40.34507042253521,-32.08450704225355,swac,2003
1112,1436,136,1112,1436,1,16,0,71.67474048442907,24.117647058823536,97.0588235294118,23.80622837370248,140.04152249134944,52.768166089965405,93.48442906574391,17.6643598615917,96.78892733564012,71.29065743944639,0,61.581314878892755,-45.56055363321795,26.76816608996539,275.92387543252585,51.26989619377163,-2.705882352941188,pac_ten,33.85375494071144,-8.79446640316205,71.20553359683794,44.49407114624495,-5.26086956521732,-97.52964426877476,22.051383399209485,-33.264822134387344,16.114624505928866,1.6166007905138144,0,38.08695652173913,-74.64031620553361,47.55335968379464,12.454545454545567,-4.802371541501983,-23.561264822134383,aec,2003
1112,1211,138,1112,1211,1,9,0,71.67474048442907,24.117647058823536,97.0588235294118,23.80622837370248,140.04152249134944,52.768166089965405,93.48442906574391,17.6643598615917,96.78892733564012,71.29065743944639,0,61.581314878892755,-45.56055363321795,26.76816608996539,275.92387543252585,51.26989619377163,-2.705882352941188,pac_ten,56.71929824561407,16.815789473684212,67.78508771929826,-49.342105263158174,18.758771929824476,43.74122807017544,48.22807017543859,23.49122807017544,73.97807017543859,64.5175438596491,0,33.75877192982459,-51.109649122807056,-58.09649122807005,184.46491228070175,11.267543859649118,-20.11842105263159,wcc,2003
1112,1323,143,1112,1323,1,5,0,71.67474048442907,24.117647058823536,97.0588235294118,23.80622837370248,140.04152249134944,52.768166089965405,93.48442906574391,17.6643598615917,96.78892733564012,71.29065743944639,0,61.581314878892755,-45.56055363321795,26.76816608996539,275.92387543252585,51.26989619377163,-2.705882352941188,pac_ten,68.70171149144252,23.713936430317837,90.81907090464547,-209.75305623471877,48.437652811736044,119.34963325183367,35.34718826405866,65.46699266503666,30.244498777506063,66.48166259168705,0,-59.09535452322736,-78.79951100244502,-277.1271393643033,202.64303178484136,-16.39364303178485,-52.77995110024451,big_east,2003
1113,1272,136,1113,1272,10,7,1,13.591695501730118,25.764705882352942,-25.11764705882351,-94.20069204152237,-110.67128027681665,-162.41868512110733,6.501730103806178,-69.74048442906572,135.24567474048442,74.30103806228377,0,20.602076124567496,1.0622837370242664,-121.41868512110732,17.56401384083034,-41.363321799307954,-25.58823529411766,pac_ten,70.54887218045113,46.553884711779446,50.822055137844586,27.97994987468661,75.66165413533832,50.55137844611522,42.959899749373456,25.874686716791963,52.81954887218045,16.952380952380942,0,44.373433583959894,-4.6741854636590965,42.320802005012354,128.74686716791962,11.145363408521295,-5.8546365914787,cusa,2003
1141,1166,136,1141,1166,11,6,1,67.22162162162161,37.229729729729726,26.810810810810825,65.50270270270278,-49.52162162162169,6.15135135135132,56.87567567567571,16.94594594594595,79.06756756756751,100.8,0,-15.291891891891897,11.618918918918887,54.93243243243256,231.49729729729717,9.897297297297303,102.62162162162156,mac,111.02047781569964,56.897610921501716,21.880546075085363,-14.94197952218444,125.15017064846418,131.55631399317403,145.6518771331058,57.00341296928328,14.853242320819106,3.2081911262798535,0,22.01706484641641,-44.273037542662095,-11.071672354948689,351.5153583617749,63.34470989761093,-23.70307167235493,mvc,2003
1143,1301,136,1143,1301,8,9,0,26.59169550173011,-16.235294117647054,5.882352941176489,50.799307958477584,-57.67128027681668,-33.41868512110726,10.501730103806178,0.2595155709342629,-58.75432525951558,-46.69896193771625,0,-50.397923875432504,-65.93771626297573,59.58131487889273,-25.43598615916966,-2.363321799307963,-20.58823529411766,pac_ten,-4.866920152091261,-43.05703422053233,-63.33460076045628,120.77566539923937,-151.0646387832699,103.06083650190106,-53.07984790874522,35.84410646387832,-43.376425855513276,13.874524714828873,0,-91.26996197718634,-11.026615969581748,137.5057034220531,-56.44106463878319,-7.0,-14.874524714828873,acc,2003
1163,1140,136,1163,1140,5,12,0,28.38875305623472,85.59413202933987,118.760391198044,135.94865525672387,92.55256723716391,-66.72616136919318,103.43276283618579,-3.354523227383856,7.107579462102642,-9.3080684596577,0,44.19804400977998,-11.031784841075797,143.26405867970647,194.20293398533033,-61.41320293398532,39.69682151589241,big_east,-6.424892703862682,-15.798283261802577,64.48927038626606,-26.412017167381777,-18.60944206008577,-25.00429184549361,-1.6609442060085549,-0.6523605150214724,56.48927038626606,74.65236051502144,0,21.012875536480664,52.38197424892701,-29.58369098712447,70.67811158798267,21.54935622317596,2.2446351931330337,mwc,2003
1163,1390,138,1163,1390,5,4,1,28.38875305623472,85.59413202933987,118.760391198044,135.94865525672387,92.55256723716391,-66.72616136919318,103.43276283618579,-3.354523227383856,7.107579462102642,-9.3080684596577,0,44.19804400977998,-11.031784841075797,143.26405867970647,194.20293398533033,-61.41320293398532,39.69682151589241,big_east,-13.574394463667804,0.0588235294117605,29.529411764705902,-152.21453287197215,-83.09688581314882,37.20761245674741,-41.46366782006923,16.44982698961938,-23.84083044982702,-29.678200692041504,0,23.64359861591698,-26.6920415224913,-130.7923875432527,-96.15570934256067,-34.62975778546712,-17.3529411764706,pac_ten,2003
1181,1161,136,1181,1161,3,14,0,-29.86692015209126,18.942965779467677,-31.3346007604563,121.77566539923937,58.93536121673009,46.06083650190111,37.920152091254764,16.84410646387832,184.62357414448672,137.87452471482885,0,29.730038022813673,66.97338403041823,120.5057034220531,230.5589353612168,15.0,-19.874524714828873,acc,56.201716738197405,36.2274678111588,33.82832618025749,27.407725321888577,7.248927038626675,-161.06866952789704,69.42489270386267,-60.43776824034336,57.82832618025748,36.43776824034333,0,18.20600858369096,25.11158798283259,38.66094420600855,114.84978540772516,-27.210300429184556,73.9141630901288,mwc,2003
